barrier_idx,S1,ST,S1_conf,ST_conf,interaction
0,0.0989753633919235,0.11536993583467807,0.026466472046274076,0.008149312759944162,0.016394572442754565
1,0.06490578805834792,0.11153043270945412,0.027000918306270636,0.007247113126825191,0.046624644651106203
2,0.0964049215213091,0.12041191424515217,0.026293805369844915,0.00901725408972403,0.024006992723843074
3,0.0915173258243546,0.10873629398636052,0.026330231969613153,0.008088849796801292,0.017218968162005924
4,0.09036821837362333,0.11200680420851117,0.023080302916276347,0.008418716209407083,0.02163858583488784
5,0.08794302959347586,0.11435277461041041,0.02397413867303174,0.007009734193763316,0.02640974501693455
6,0.10070676796989192,0.10642085742243178,0.02539092058493122,0.0076995890591108245,0.005714089452539858
7,0.076218174076702,0.1091952860854362,0.023736041582352072,0.006833955402103516,0.0329771120087342
8,0.06210320888609576,0.11592394637832838,0.026388571468704138,0.007011384193220775,0.05382073749223262
9,0.04490164745050889,0.1081627676346376,0.02565562867592908,0.007113501338374039,0.06326112018412872
10,0.057086971903532575,0.11877915802926506,0.029526259945548854,0.008053198892173125,0.06169218612573248
