finding,mean,std,ci_lower,ci_upper,finding_robust,mode
three_way_interaction,99.58460609432822,0.09515794712912692,99.37591411209213,99.74698044754413,1.0,
max_individual_effect,5.47716456219058e-05,1.666401221551378e-05,2.7986648145221612e-05,9.310707353464523e-05,1.0,
barriers_for_90pct,11.0,0.0,,,1.0,11.0
