noise_level,mean_output,std_output,cv,snr,snr_db,ci_lower,ci_upper,output_range
0.01,1.800635179756321e-05,5.903939556226182e-07,0.03278809401594141,30.498875583124924,14.842838282961036,1.685188506727928e-05,1.9218323865917674e-05,3.7445304128563267e-06
0.02,1.8017587915897647e-05,1.2196284143861963e-06,0.06769099282762865,14.773014225783989,11.694691160342451,1.57920517884346e-05,2.053913440011535e-05,8.070965846529222e-06
0.05,1.7941528876502166e-05,2.981212976230326e-06,0.16616270534975364,6.018197632826894,7.794664455238422,1.280612313416265e-05,2.4507867403419237e-05,2.0553464732360103e-05
0.1,1.7788296962998276e-05,6.241606508467576e-06,0.35088274731700525,2.849954885631779,4.548379852449141,8.541785561993239e-06,3.324157668762189e-05,5.652660892185414e-05
0.15,1.8450311565341582e-05,9.784953343892275e-06,0.5303408188657935,1.8855799222444107,2.754449451500789,5.4976060194132915e-06,4.2688871875698254e-05,7.750662134009746e-05
0.2,1.8150684745176095e-05,1.3251368417189523e-05,0.7300753995361711,1.369721539220903,1.3663228520623518,3.1906193231771213e-06,5.2320925872862584e-05,0.00012267422265670126
0.25,1.830676569562359e-05,2.010549171298342e-05,1.0982547134358,0.9105355868417644,-0.4070307582514871,1.6721029089095224e-06,6.549807584309877e-05,0.0003796833700272706
0.3,1.7938948067879103e-05,2.309084286972445e-05,1.2871904630277715,0.776885805732096,-1.0964281335499066,7.350889890376245e-07,7.956418045895041e-05,0.00026579511393045013
