noise_level,mean_output,std_output,cv,snr,snr_db,ci_lower,ci_upper,output_range
0.01,1.8012301503726936e-05,5.897267886438452e-07,0.0327402241474708,30.54346834938363,14.849183516291331,1.6901842410201342e-05,1.920283444304223e-05,4.098637866030425e-06
0.02,1.803487855516256e-05,1.2540171625303766e-06,0.06953288643972648,14.381683994476983,11.578097418667028,1.5756713645147798e-05,2.0580139056748432e-05,8.669623603549324e-06
0.05,1.7873627025767232e-05,2.9581871225036737e-06,0.16550569832519443,6.0420880375680275,7.811870489662988,1.2791217951333152e-05,2.4452595166583015e-05,2.0508713225659584e-05
0.1,1.804254378795335e-05,6.0705735549065755e-06,0.3364588511604321,2.972131648643045,4.7306804230689465,8.652119022176913e-06,3.19780933553991e-05,6.298019519789502e-05
0.15,1.811338867579688e-05,9.673260581605805e-06,0.5340392543186147,1.872521527047499,2.724268191748154,5.609439728699634e-06,4.2733355285509724e-05,8.769292475534707e-05
0.2,1.8024492512499245e-05,1.2969213859652722e-05,0.719532816286456,1.389790677180019,1.4294939407328278,3.423929356281006e-06,5.241108128803188e-05,0.0001179614706353341
0.25,1.7361066118149505e-05,1.623461812610889e-05,0.9351164275065452,1.0693855551938751,0.2913431353843763,1.924980201722781e-06,6.265040000490982e-05,0.0001588047297066088
0.3,1.7423518763057934e-05,2.220380984416036e-05,1.2743585349268138,0.7847085200849145,-1.052916319507601,7.684057069043288e-07,7.143027450952233e-05,0.00046294559295920776
