finding,mean,std,ci_lower,ci_upper,finding_robust,mode
three_way_interaction,99.57907681845006,0.09618752623250279,99.36613162941957,99.73943009526154,1.0,
max_individual_effect,5.548151078827214e-05,1.753263650832858e-05,2.7995759584471163e-05,0.00010048769638028588,1.0,
barriers_for_90pct,11.0,0.0,,,1.0,11.0
