barrier_idx,perturbation,param_value,output,output_change,output_change_pct
0,-0.2,0.24,1.440747e-05,-3.601867500000003e-06,-20.00000000000001
0,-0.18000000000000002,0.24599999999999997,1.4767656750000001e-05,-3.241680750000002e-06,-18.000000000000007
0,-0.16,0.252,1.51278435e-05,-2.881494000000003e-06,-16.000000000000014
0,-0.14,0.258,1.5488030250000003e-05,-2.5213072500000006e-06,-14.000000000000002
0,-0.12000000000000001,0.264,1.5848217000000005e-05,-2.161120499999998e-06,-11.999999999999988
0,-0.1,0.27,1.620840375e-05,-1.8009337500000023e-06,-10.000000000000012
0,-0.08000000000000002,0.27599999999999997,1.65685905e-05,-1.4407470000000032e-06,-8.000000000000016
0,-0.06,0.282,1.6928777250000002e-05,-1.0805602500000007e-06,-6.0000000000000036
0,-0.04000000000000001,0.288,1.7288964000000005e-05,-7.203734999999982e-07,-3.99999999999999
0,-0.020000000000000018,0.294,1.7649150750000004e-05,-3.601867499999991e-07,-1.999999999999995
0,0.0,0.3,1.8009337500000003e-05,0.0,0.0
0,0.01999999999999999,0.306,1.8369524250000002e-05,3.601867499999991e-07,1.999999999999995
0,0.03999999999999998,0.312,1.8729710999999998e-05,7.203734999999948e-07,3.999999999999971
0,0.06,0.318,1.908989775e-05,1.0805602499999973e-06,5.999999999999985
0,0.08000000000000002,0.324,1.94500845e-05,1.4407469999999965e-06,7.99999999999998
0,0.09999999999999998,0.33,1.981027125e-05,1.8009337499999956e-06,9.999999999999973
0,0.12,0.336,2.0170458000000005e-05,2.1611205000000015e-06,12.000000000000007
0,0.14,0.342,2.053064475e-05,2.521307249999997e-06,13.999999999999982
0,0.15999999999999998,0.348,2.0890831500000003e-05,2.8814939999999997e-06,15.999999999999995
0,0.18,0.354,2.1251018250000002e-05,3.241680749999999e-06,17.99999999999999
0,0.2,0.36,2.1611204999999998e-05,3.6018674999999945e-06,19.999999999999964
1,-0.2,0.44000000000000006,1.440747e-05,-3.601867500000003e-06,-20.00000000000001
1,-0.18000000000000002,0.451,1.4767656750000001e-05,-3.241680750000002e-06,-18.000000000000007
1,-0.16,0.462,1.51278435e-05,-2.881494000000003e-06,-16.000000000000014
1,-0.14,0.47300000000000003,1.548803025e-05,-2.521307250000004e-06,-14.000000000000021
1,-0.12000000000000001,0.48400000000000004,1.5848216999999995e-05,-2.1611205000000082e-06,-12.000000000000044
1,-0.1,0.49500000000000005,1.620840375e-05,-1.8009337500000023e-06,-10.000000000000012
1,-0.08000000000000002,0.506,1.65685905e-05,-1.4407470000000032e-06,-8.000000000000016
1,-0.06,0.517,1.6928777250000002e-05,-1.0805602500000007e-06,-6.0000000000000036
1,-0.04000000000000001,0.528,1.7288964000000005e-05,-7.203734999999982e-07,-3.99999999999999
