barrier_idx,S1,ST,S1_conf,ST_conf,interaction
0,0.06282320374448279,0.10088433186934254,0.022627038749816118,0.007728249114044777,0.03806112812485975
1,0.07345235849231205,0.1033483882985518,0.024640548303018716,0.0071171958202118826,0.029896029806239746
2,0.059203482741158886,0.0973350997608116,0.0215108060799465,0.006555208933306305,0.03813161701965272
3,0.06871229110532058,0.09782048640717887,0.021384297312547224,0.006180013666773586,0.029108195301858292
4,0.08752760966395212,0.10266402126757485,0.029348628491462123,0.007415500261886533,0.015136411603622724
5,0.07413300509504359,0.101282934212566,0.02158317434710015,0.006585598196740116,0.02714992911752241
6,0.07505910901361966,0.1001512654865569,0.023606818641017904,0.006001288381897421,0.025092156472937235
7,0.07479089443072161,0.1082119148938837,0.02484109904973958,0.007900092993062456,0.03342102046316209
8,0.08427740646325126,0.10284414360498326,0.022143236778836114,0.007283793810918342,0.018566737141732
9,0.09417904601466469,0.10559445694389487,0.022711156831580967,0.007762474414410878,0.01141541092923018
10,0.0648233521668742,0.09838390038616515,0.023249946063987212,0.007828252455904232,0.033560548219290956
